full_name,email,returned,churn_probability
"Kimbrell, Andree",andree.kimbrell@exxonmobil.com,False,56.99999999999999
"Milo, Almeta",almeta.milo@bellsouth.net,False,70.0
"Palma, Ahmed",ahmed.palma@apple.com,True,23.0
"Patino, Aron",aron.patino@shaw.ca,False,98.0
"Peraza, Alphonso",alphonso.peraza@ntlworld.com,True,24.0
"Prange, Alla",alla.prange@yahoo.ca,False,98.0
"Puente, Alexandra",alexandra.puente@hotmail.com,False,100.0
"Pullins, Alphonse",alphonse.pullins@hotmail.com,False,62.0
"Redington, Allan",allan.redington@gmail.com,False,99.0
"Shew, Arron",arron.shew@comcast.net,False,93.0
"Starling, Allen",allen.starling@bellsouth.net,True,49.0
"Trombley, Asa",asa.trombley@yahoo.co.uk,False,72.0
"Vanscyoc, Arlette",arlette.vanscyoc@exxonmobil.com,True,12.0
"Whitner, Adelaide",adelaide.whitner@walmart.com,False,66.0
"Ahearn, Ayako",ayako.ahearn@btinternet.com,False,100.0
"Bomberger, Arlena",arlena.bomberger@outlook.com,False,52.0
"Dibenedetto, Alphonse",alphonse.dibenedetto@rediffmail.com,False,94.0
"Ducan, Antonia",antonia.ducan@gmail.com,True,83.0
"Duff, Alleen",alleen.duff@earthlink.net,True,72.0
"Estep, Armando",armando.estep@charter.net,False,47.0
"Gilmour, Ali",ali.gilmour@gmail.com,True,32.0
"Granberry, Ashley",ashley.granberry@charter.net,True,13.0
"Guillaume, Alton",alton.guillaume@gmail.com,True,45.0
"Haris, Alejandro",alejandro.haris@comcast.net,False,100.0
"Heavner, Allie",allie.heavner@btinternet.com,True,32.0
"Hoch, Anibal",anibal.hoch@hotmail.com,True,27.0
"Hofmann, Ashanti",ashanti.hofmann@verizon.net,False,85.0
"Jeremiah, Alesia",alesia.jeremiah@gmail.com,False,97.0
"Klass, Antonia",antonia.klass@gmail.com,True,4.0
"Marchan, Antonia",antonia.marchan@gmail.com,False,98.0
"Mcbroom, Adele",adele.mcbroom@microsoft.com,False,100.0
"Mccollister, Antionette",antionette.mccollister@gmail.com,True,37.0
"Mize, Antony",antony.mize@yahoo.com,True,2.0
"Raney, Apryl",apryl.raney@shaw.ca,True,61.0
"Sisler, Abdul",abdul.sisler@aol.com,True,47.0
"Starr, Ashely",ashely.starr@yahoo.com,True,14.000000000000002
"Stehle, Andrew",andrew.stehle@yahoo.co.in,False,79.0
"Torbett, Amal",amal.torbett@rediffmail.com,True,20.0
"Vanderford, Aldo",aldo.vanderford@hotmail.com,True,17.0
"Warford, Angelita",angelita.warford@gmail.com,False,99.0
"Welborn, Antonio",antonio.welborn@gmail.com,False,98.0
"Winner, Avelina",avelina.winner@hotmail.com,False,99.0
"Alonso, Antonietta",antonietta.alonso@gmail.com,True,15.0
"Avant, Adam",adam.avant@gmail.com,False,63.0
"Baldree, Arden",arden.baldree@gmail.com,True,16.0
"Brenneman, Adrian",adrian.brenneman@yahoo.co.uk,True,17.0
"Buchholz, Alva",alva.buchholz@gmail.com,False,69.0
"Burpo, Anisha",anisha.burpo@shell.com,False,94.0
"Comstock, Ami",ami.comstock@aol.com,False,100.0
"Dougan, Andrea",andrea.dougan@gmail.com,False,26.0
"Eckard, Antonia",antonia.eckard@gmail.com,True,13.0
"Freeland, Austin",austin.freeland@walmart.com,True,30.0
"Fryar, Alvaro",alvaro.fryar@gmail.com,True,35.0
"Gilliard, Aaron",aaron.gilliard@gmail.com,True,2.0
"Hoyle, Audrie",audrie.hoyle@gmail.com,False,99.0
"Jelks, Alverta",alverta.jelks@hotmail.co.uk,False,97.0
"Jesse, Alfonso",alfonso.jesse@earthlink.net,True,8.0
"Lasalle, Alvaro",alvaro.lasalle@microsoft.com,False,100.0
"Lebaron, Allan",allan.lebaron@microsoft.com,True,42.0
"Lira, Alejandra",alejandra.lira@yahoo.co.uk,False,71.0
"Neher, Abel",abel.neher@yahoo.co.uk,False,100.0
"Parkison, Arthur",arthur.parkison@gmail.com,False,100.0
"Pass, Adolph",adolph.pass@aol.com,True,40.0
"Scheuerman, Antionette",antionette.scheuerman@yahoo.com,False,100.0
"Schilling, Ashleigh",ashleigh.schilling@aol.com,False,100.0
"Sneller, Alphonso",alphonso.sneller@gmail.com,False,100.0
"Spinella, Andria",andria.spinella@walmart.com,True,39.0
"Squire, Apryl",apryl.squire@gmail.com,True,94.0
"Strohl, Amira",amira.strohl@shaw.ca,False,21.0
"Tieman, Allan",allan.tieman@yahoo.com,False,99.0
"Tostado, Alberto",alberto.tostado@shaw.ca,False,67.0
"Walck, Amado",amado.walck@sbcglobal.net,False,100.0
"Allshouse, Arlie",arlie.allshouse@gmail.com,True,3.0
"Bagby, Aisha",aisha.bagby@ibm.com,True,13.0
"Barone, Asa",asa.barone@hotmail.com,False,28.999999999999996
"Baylor, Aliza",aliza.baylor@yahoo.com,True,22.0
"Cardinal, Annette",annette.cardinal@earthlink.net,True,89.0
"Cartagena, Annamaria",annamaria.cartagena@gmail.com,False,94.0
"Christy, Alfred",alfred.christy@verizon.net,True,66.0
"Coffey, Alysia",alysia.coffey@bp.com,True,39.0
"Culpepper, Alton",alton.culpepper@bp.com,False,100.0
"Giunta, Anissa",anissa.giunta@hotmail.com,True,41.0
"Herman, Agueda",agueda.herman@gmail.com,True,20.0
"Isaac, Ayanna",ayanna.isaac@gmail.com,True,21.0
"Joe, Armando",armando.joe@shaw.ca,False,94.0
"Kalinowski, Alise",alise.kalinowski@yahoo.com,True,64.0
"Lepage, Alfonso",alfonso.lepage@shell.com,True,0.0
"Mangano, Arleen",arleen.mangano@gmail.com,False,42.0
"Peralez, Angla",angla.peralez@gmail.com,False,98.0
"Quintanar, Andy",andy.quintanar@hotmail.com,False,46.0
"Roldan, Antionette",antionette.roldan@gmail.com,False,100.0
"Rousseau, Ahmad",ahmad.rousseau@rediffmail.com,False,99.0
"Saravia, Aldo",aldo.saravia@yahoo.ca,True,65.0
"Shryock, Alfonso",alfonso.shryock@exxonmobil.com,False,99.0
"Spafford, Anisha",anisha.spafford@gmail.com,False,96.0
"Vose, Angelina",angelina.vose@rediffmail.com,True,60.0
"Warrington, Anderson",anderson.warrington@rediffmail.com,True,9.0
"Watford, Arnita",arnita.watford@aol.com,False,97.0
"Babineaux, Abraham",abraham.babineaux@gmail.com,True,50.0
"Beech, Anderson",anderson.beech@gmail.com,True,65.0
"Branton, Ann",ann.branton@gmail.com,True,60.0
"Chavarria, Aleen",aleen.chavarria@gmail.com,True,22.0
"Coan, Antony",antony.coan@aol.com,False,49.0
"Crawley, Azzie",azzie.crawley@btinternet.com,True,21.0
"Delatte, Ariel",ariel.delatte@sbcglobal.net,False,99.0
"Gilmour, Alethia",alethia.gilmour@outlook.com,False,100.0
"Hoag, Annmarie",annmarie.hoag@yahoo.com,False,100.0
"Karl, Adolph",adolph.karl@aol.com,False,99.0
"Katzman, Ami",ami.katzman@yahoo.com,True,76.0
"Knipe, Arden",arden.knipe@aol.com,True,21.0
"Malek, Angelo",angelo.malek@yahoo.com,True,11.0
"Mccray, Alonzo",alonzo.mccray@gmail.com,True,44.0
"Mccroskey, Antwan",antwan.mccroskey@yahoo.com,True,4.0
"Mellen, Adaline",adaline.mellen@gmail.com,False,87.0
"Nee, Andria",andria.nee@gmail.com,False,77.0
"Peralez, Aron",aron.peralez@apple.com,False,99.0
"Romans, Anamaria",anamaria.romans@microsoft.com,False,99.0
"Sauter, Artie",artie.sauter@yahoo.com,False,48.0
"Spafford, Alonzo",alonzo.spafford@yahoo.com,True,3.0
"Stapp, Andrea",andrea.stapp@hotmail.com,False,100.0
"Stecker, Andera",andera.stecker@hotmail.com,False,100.0
"Westmoreland, Anton",anton.westmoreland@gmail.com,True,0.0
"Yonker, Akiko",akiko.yonker@gmail.com,False,100.0
"Zinke, Allen",allen.zinke@comcast.net,False,97.0
"Blasko, Ashli",ashli.blasko@cox.net,True,1.0
"Bookman, Ashlea",ashlea.bookman@gmail.com,True,10.0
"Borchardt, Alphonse",alphonse.borchardt@hotmail.com,True,57.99999999999999
"Brosnan, Alise",alise.brosnan@aol.com,True,1.0
"Conaway, Aurora",aurora.conaway@shell.com,True,21.0
"Devaney, Angelo",angelo.devaney@hotmail.com,True,78.0
"Hannon, Ailene",ailene.hannon@btinternet.com,True,2.0
"Hennessey, Arletha",arletha.hennessey@gmail.com,False,99.0
"Langford, Antione",antione.langford@gmail.com,True,0.0
"Linch, Angle",angle.linch@hotmail.com,True,18.0
"Lui, Antione",antione.lui@gmail.com,True,3.0
"Merkley, Aide",aide.merkley@gmail.com,False,27.0
"Nee, Arron",arron.nee@aol.com,True,13.0
"Olszewski, Araceli",araceli.olszewski@walmart.com,True,11.0
"Plasencia, Antony",antony.plasencia@bp.com,True,28.000000000000004
"Saylor, Annamaria",annamaria.saylor@gmail.com,False,100.0
"Serpa, Avery",avery.serpa@gmail.com,True,25.0
"Barnaby, Antonia",antonia.barnaby@earthlink.net,True,41.0
"Benge, Avery",avery.benge@gmail.com,False,99.0
"Brunner, Abdul",abdul.brunner@bellsouth.net,False,65.0
"Damiani, Andres",andres.damiani@hotmail.com,True,49.0
"Dykstra, Angel",angel.dykstra@hotmail.co.uk,True,52.0
"Goodridge, Alida",alida.goodridge@hotmail.co.uk,True,3.0
"Hamilton, Antoine",antoine.hamilton@gmail.com,False,99.0
"Kees, Adrian",adrian.kees@gmail.com,False,100.0
"Lechner, Alison",alison.lechner@gmail.com,False,10.0
"Mccartney, Alicia",alicia.mccartney@hotmail.com,False,84.0
"Pichardo, Angla",angla.pichardo@earthlink.net,False,96.0
"Salguero, Augustus",augustus.salguero@bellsouth.net,True,31.0
"Samuels, Adah",adah.samuels@yahoo.co.uk,True,73.0
"Theberge, Andria",andria.theberge@gmail.com,True,37.0
"Armbruster, Alexander",alexander.armbruster@yahoo.com,True,33.0
"Askins, Alphonso",alphonso.askins@yahoo.com,False,99.0
"Biles, Armando",armando.biles@msn.com,True,15.0
"Britten, Adam",adam.britten@verizon.net,False,63.0
"Burrier, Albert",albert.burrier@aol.com,True,38.0
"Cairns, Archie",archie.cairns@gmail.com,False,84.0
"Clemente, Alanna",alanna.clemente@yahoo.co.in,True,4.0
"Cloud, Antwan",antwan.cloud@msn.com,False,84.0
"Cluck, Ariel",ariel.cluck@hotmail.com,True,15.0
"Collis, Antonio",antonio.collis@gmail.com,True,3.0
"Firkins, Assunta",assunta.firkins@gmail.com,False,77.0
"Foy, Anibal",anibal.foy@yahoo.com,True,90.0
"Gebhart, Ashley",ashley.gebhart@gmail.com,False,65.0
"Griffeth, Arlie",arlie.griffeth@verizon.net,False,97.0
"Husk, Argelia",argelia.husk@yahoo.com,True,19.0
"Killingsworth, Alejandro",alejandro.killingsworth@gmail.com,False,100.0
"Kinnear, Alton",alton.kinnear@hotmail.com,False,95.0
"Leist, Armando",armando.leist@gmail.com,True,9.0
"Mckillip, Andreas",andreas.mckillip@microsoft.com,True,56.99999999999999
"Mickelson, Armanda",armanda.mickelson@gmail.com,False,61.0
"Odle, Akiko",akiko.odle@bellsouth.net,False,77.0
"Owen, Alvin",alvin.owen@aol.com,False,100.0
"Pan, Alline",alline.pan@gmail.com,True,2.0
"Pullman, Aja",aja.pullman@bellsouth.net,False,22.0
"Scull, Adaline",adaline.scull@gmail.com,False,33.0
"Soderberg, Angel",angel.soderberg@gmail.com,False,98.0
"Stanback, Arden",arden.stanback@yahoo.co.uk,True,3.0
"Theberge, Anibal",anibal.theberge@yahoo.com,True,23.0
"Vincent, Ali",ali.vincent@gmail.com,False,48.0
"Weatherly, Astrid",astrid.weatherly@aol.com,False,65.0
"Wickman, Adalberto",adalberto.wickman@gmail.com,False,100.0
"Withrow, Arnoldo",arnoldo.withrow@sbcglobal.net,True,2.0
"Biddle, Al",al.biddle@gmail.com,False,100.0
"Bogle, Adan",adan.bogle@aol.com,False,97.0
"Centers, Alfredia",alfredia.centers@gmail.com,True,14.000000000000002
"Comfort, Antony",antony.comfort@sbcglobal.net,True,8.0
"Conroy, Alphonso",alphonso.conroy@gmail.com,False,68.0
"Constantino, Albertina",albertina.constantino@gmail.com,False,97.0
"Covey, Ariana",ariana.covey@hotmail.com,False,100.0
"Dandridge, Aurora",aurora.dandridge@gmail.com,False,100.0
"Decicco, Alishia",alishia.decicco@bp.com,True,57.99999999999999
"English, Ana",ana.english@microsoft.com,False,100.0
"Fagundes, Annita",annita.fagundes@hotmail.com,True,79.0
"Hanley, Adrian",adrian.hanley@gmail.com,False,67.0
"Hannan, Arron",arron.hannan@gmail.com,True,82.0
"Husk, Anamaria",anamaria.husk@yahoo.com,False,96.0
"Joyce, Anthony",anthony.joyce@yahoo.com,True,56.99999999999999
"Miler, Aline",aline.miler@ntlworld.com,True,18.0
"Mole, Ashley",ashley.mole@msn.com,False,100.0
"Montague, Angelo",angelo.montague@hotmail.com,True,31.0
"Neilsen, Ali",ali.neilsen@gmail.com,True,52.0
"Pauli, Alise",alise.pauli@yahoo.co.uk,True,57.99999999999999
"Seldon, Amina",amina.seldon@rediffmail.com,True,67.0
"Tietjen, Allyson",allyson.tietjen@aol.com,False,98.0
"Trawick, Alethia",alethia.trawick@earthlink.net,False,100.0
"Wakefield, Alona",alona.wakefield@apple.com,False,88.0
"Appell, Arnulfo",arnulfo.appell@gmail.com,False,100.0
"Bumpus, Annice",annice.bumpus@walmart.com,False,28.999999999999996
"Chenault, Asuncion",asuncion.chenault@aol.com,False,100.0
"Clayborn, Annita",annita.clayborn@hotmail.com,False,78.0
"Dickerson, Anderson",anderson.dickerson@cox.net,True,12.0
"Engelke, Arlen",arlen.engelke@exxonmobil.com,True,22.0
"Gero, Alphonse",alphonse.gero@charter.net,True,18.0
"Hagen, Alisa",alisa.hagen@shell.com,False,94.0
"Jenkins, Augustine",augustine.jenkins@comcast.net,False,96.0
"Knowlton, An",an.knowlton@aol.com,True,2.0
"Linares, Arron",arron.linares@charter.net,True,68.0
"Loar, Abraham",abraham.loar@walmart.com,False,100.0
"Mccraney, Augustus",augustus.mccraney@aol.com,False,100.0
"Rule, Alverta",alverta.rule@aol.com,True,38.0
"Tosh, Andres",andres.tosh@hotmail.com,True,15.0
"Tran, Armando",armando.tran@gmail.com,False,100.0
"Valladares, Augustina",augustina.valladares@hotmail.com,False,99.0
"Woosley, Ashton",ashton.woosley@gmail.com,True,56.00000000000001
"Boyett, Abe",abe.boyett@shaw.ca,False,76.0
"Clear, Ambrose",ambrose.clear@gmail.com,False,97.0
"Dahms, Ashlyn",ashlyn.dahms@btinternet.com,False,56.99999999999999
"Duran, Ada",ada.duran@gmail.com,False,96.0
"Esquibel, Alicia",alicia.esquibel@hotmail.com,False,100.0
"German, Alan",alan.german@bellsouth.net,True,10.0
"Gess, Alexa",alexa.gess@hotmail.com,False,96.0
"Gove, Abdul",abdul.gove@gmail.com,True,38.0
"Grado, Adam",adam.grado@gmail.com,False,100.0
"Hills, Adina",adina.hills@sbcglobal.net,False,100.0
"Kennerson, Augustus",augustus.kennerson@gmail.com,True,1.0
"Lirette, Alisia",alisia.lirette@yahoo.com,False,100.0
"Meserve, Andrea",andrea.meserve@hotmail.com,True,8.0
"Miyamoto, Alfredia",alfredia.miyamoto@yahoo.co.in,False,97.0
"Newton, Arletta",arletta.newton@yahoo.com,True,18.0
"Olmstead, Austin",austin.olmstead@yahoo.co.in,True,2.0
"Pagel, Alonzo",alonzo.pagel@aol.com,False,73.0
"Palma, Alisha",alisha.palma@yahoo.co.in,False,94.0
"Parikh, Abbey",abbey.parikh@gmail.com,False,100.0
"Resendez, Allena",allena.resendez@gmail.com,True,2.0
"Santiago, Alba",alba.santiago@verizon.net,True,35.0
"Schenk, Arnita",arnita.schenk@btinternet.com,True,32.0
"Shuey, Anissa",anissa.shuey@exxonmobil.com,True,6.0
"Walsh, Anette",anette.walsh@aol.com,False,100.0
"Wyant, Alfredo",alfredo.wyant@sbcglobal.net,False,98.0
"Andrade, Aaron",aaron.andrade@gmail.com,True,50.0
"Bruton, Al",al.bruton@aol.com,False,86.0
"Crowder, Antony",antony.crowder@yahoo.com,False,100.0
"Englert, Abram",abram.englert@aol.com,True,12.0
"Fearon, Alexis",alexis.fearon@gmail.com,False,99.0
"Flournoy, Al",al.flournoy@yahoo.com,True,45.0
"Gibney, Angel",angel.gibney@hotmail.com,False,97.0
"Glasper, Adaline",adaline.glasper@hotmail.com,False,99.0
"Henson, Ariana",ariana.henson@hotmail.com,True,67.0
"Kipp, Anjanette",anjanette.kipp@yahoo.com,True,12.0
"Lederman, Arturo",arturo.lederman@outlook.com,True,32.0
"Loh, Assunta",assunta.loh@hotmail.co.uk,False,83.0
"Mccloskey, Anya",anya.mccloskey@exxonmobil.com,False,98.0
"Nall, Adina",adina.nall@gmail.com,False,66.0
"Pardo, Arlie",arlie.pardo@hotmail.com,True,41.0
"Rimer, Ashley",ashley.rimer@aol.com,True,3.0
"Selig, Augustus",augustus.selig@walmart.com,True,1.0
"Stairs, August",august.stairs@charter.net,True,3.0
"Starns, Ariel",ariel.starns@btinternet.com,True,17.0
"Steelman, Angelo",angelo.steelman@gmail.com,False,99.0
"Vineyard, Angel",angel.vineyard@aol.com,False,97.0
"Yelverton, Ariane",ariane.yelverton@gmail.com,True,10.0
"Atwell, Antonietta",antonietta.atwell@walmart.com,True,14.000000000000002
"Benge, Amanda",amanda.benge@aol.com,False,100.0
"Bengtson, Ariel",ariel.bengtson@gmail.com,True,5.0
"Bernhardt, Ai",ai.bernhardt@hotmail.com,False,99.0
"Chien, Alanna",alanna.chien@yahoo.com,True,37.0
"Council, Abigail",abigail.council@hotmail.com,True,66.0
"Crone, Ashley",ashley.crone@hotmail.com,False,98.0
"Croteau, Angie",angie.croteau@hotmail.co.uk,True,20.0
"Delp, Aurelia",aurelia.delp@exxonmobil.com,False,100.0
"Girouard, Audrie",audrie.girouard@gmail.com,False,98.0
"Goggans, Ashlee",ashlee.goggans@comcast.net,False,98.0
"Hersom, Aubrey",aubrey.hersom@walmart.com,True,1.0
"Hungate, Alvaro",alvaro.hungate@hotmail.com,False,48.0
"Ismail, Angel",angel.ismail@charter.net,True,17.0
"Kellar, Angelina",angelina.kellar@hotmail.com,True,5.0
"Lemmon, Aldo",aldo.lemmon@yahoo.co.uk,True,3.0
"Linares, Amee",amee.linares@earthlink.net,True,69.0
"Lisi, Angeline",angeline.lisi@msn.com,True,4.0
"Markland, Adam",adam.markland@gmail.com,True,22.0
"Mcculley, Arlinda",arlinda.mcculley@yahoo.com,False,100.0
"Mcfee, Ariel",ariel.mcfee@yahoo.com,False,83.0
"Mcmiller, August",august.mcmiller@hotmail.com,False,95.0
"Nealon, Abraham",abraham.nealon@hotmail.com,False,100.0
"North, Alfonzo",alfonzo.north@yahoo.com,False,98.0
"Olivera, Ariane",ariane.olivera@outlook.com,True,14.000000000000002
"Pang, Alex",alex.pang@yahoo.com,False,98.0
"Pastrana, Ambrose",ambrose.pastrana@gmail.com,False,100.0
"Piggott, Adelia",adelia.piggott@hotmail.co.uk,True,14.000000000000002
"Scalia, Agustin",agustin.scalia@aol.com,True,45.0
"Wiggins, Anton",anton.wiggins@gmail.com,False,99.0
"Andrzejewski, Aleta",aleta.andrzejewski@gmail.com,False,100.0
"Baker, April",april.baker@gmail.com,False,42.0
"Benbow, Ashley",ashley.benbow@yahoo.co.in,False,99.0
"Bronstein, Angelo",angelo.bronstein@msn.com,True,19.0
"Buettner, Alonso",alonso.buettner@hotmail.com,True,6.0
"Callicoat, Alix",alix.callicoat@hotmail.com,False,100.0
"Doggett, Alexandria",alexandria.doggett@gmail.com,False,98.0
"Elder, Ariel",ariel.elder@yahoo.com,True,41.0
"Eudy, Alina",alina.eudy@msn.com,True,43.0
"Feltman, Adrian",adrian.feltman@aol.com,True,10.0
"Froman, Adalberto",adalberto.froman@gmail.com,False,97.0
"Hartshorn, Antwan",antwan.hartshorn@aol.com,False,33.0
"Homer, Anamaria",anamaria.homer@hotmail.com,False,100.0
"Howard, Adrian",adrian.howard@yahoo.ca,False,96.0
"Julius, Amada",amada.julius@gmail.com,False,100.0
